publicationDate,value,magnitud,estado,estacion,periodo
2024-11-27T00:00:00Z,20.75,http://es.dbpedia.org/resource/PM10,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,3.78,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,0.3,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,18.46,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,67.3,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,6.481,http://es.dbpedia.org/resource/Ozono,Tiempo real,Renovales,Horario
2024-11-27T00:00:00Z,0.25,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,4.886,http://es.dbpedia.org/resource/Ozono,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,25.97,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,22.35,http://es.dbpedia.org/resource/PM10,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,16.87,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,88.58,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,2.92,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,2.23,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,15.73,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,0.31,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,23.85,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,24.7,http://es.dbpedia.org/resource/PM10,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,83.73,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,4.886,http://es.dbpedia.org/resource/Ozono,Tiempo real,Las Fuentes ,Horario
2024-11-27T00:00:00Z,61.45,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,2.52,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,8.406,http://es.dbpedia.org/resource/Ozono,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,0.3,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,52.65,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,2.42,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,53.05,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,0.27,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,44.9,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,8.406,http://es.dbpedia.org/resource/Ozono,Tiempo real,Centro,Horario
2024-11-27T00:00:00Z,0.26,http://es.dbpedia.org/resource/Mon%C3%B3xido_de_carbono,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,17.28,http://es.dbpedia.org/resource/PM10,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,2.14,http://es.dbpedia.org/resource/Di%C3%B3xido_de_azufre,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,83.69,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,20.64,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,4.495,http://es.dbpedia.org/resource/Ozono,Tiempo real,Avda Soria,Horario
2024-11-27T00:00:00Z,8.42,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,3.62,http://es.dbpedia.org/resource/Ozono,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,19.27,http://es.dbpedia.org/resource/PM10,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,25.29,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,96.94,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,9.85,http://es.dbpedia.org/resource/PM-2.5,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,18.81,http://es.dbpedia.org/resource/PM10,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,23.99,http://es.dbpedia.org/resource/Di%C3%B3xido_de_nitr%C3%B3geno,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,3.62,http://es.dbpedia.org/resource/Ozono,Tiempo real,Actur,Horario
2024-11-27T00:00:00Z,78.09,http://es.dbpedia.org/resource/%C3%93xidos_de_nitr%C3%B3geno,Tiempo real,Actur,Horario
